,UUID,PLAYER,BIRTH_DATE,POS,EXPERIENCE,HEIGHT,WEIGHT,NATIONALITY,COLLEGE
87,a54cf5c5-10d4-4e2b-aa43-85affa399ff0,Alonzo Bradley,1953-10-16,SF,2,6-6,190,US,Texas Southern
88,6a53c4a7-9f10-4e6a-a9f7-47d8e38c9386,Alonzo Gee,1987-05-29,SF,7,6-6,225,US,Alabama
89,8710a462-47f2-49c9-b25d-7b5c40d7211d,Alonzo Mourning,1970-02-08,C,14,6-10,240,US,Georgetown
90,4d68e756-ade5-43a1-af10-535a9272eea5,Alphonso Ford,1971-10-31,SG,1,6-1,190,US,Mississippi Valley State University
91,6924df5e-91d1-4039-a91b-d3642cdc557e,Alton Ford,1981-05-29,PF,2,6-9,275,US,Houston
92,1c8296e0-0321-45ec-aa6b-6256e7f00bff,Alton Lister,1958-10-01,C,15,7-0,240,US,Arizona State
93,83145132-9f4a-463e-b65c-dd19b2af8ee3,Alvan Adams,1954-07-19,C,12,6-9,210,US,Oklahoma
94,540a6b20-8e59-4f8c-b56b-2acf2286913c,Alvin Heggs,1967-12-12,SF,R,6-8,225,US,Texas
95,6a49ec60-c865-4387-8d68-bdc082424959,Alvin Jones,1978-09-09,C,R,6-11,265,LU,Georgia Tech
96,a6b49b86-e58e-4dc7-b698-f02e2b4dacc3,Alvin Robertson,1962-07-22,SG,9,6-4,185,US,Arkansas
97,f6503518-14ad-4210-a3f6-e8698a535559,Alvin Scott,1955-09-14,SF,7,6-7,185,US,Oral Roberts
98,768f7fdb-ccbe-4dfb-8553-ef9ae7eabbef,Alvin Sims,1974-10-18,SG,R,6-4,235,US,Louisville
99,80451bb7-6073-448a-92fd-9ed552a9876d,Alvin Williams,1974-08-06,PG,8,6-5,185,US,Villanova
100,be979a9b-b5f3-4678-8d9a-d3f323e0b2c1,Amal McCaskill,1973-10-28,C,3,6-11,235,US,Marquette
101,625fb750-b4b8-4ea3-a548-ceb92f6e1657,Amar'e Stoudemire,1982-11-16,C,13,6-10,245,US,
102,6b96b62b-6ebe-4280-a31f-792d0d96e695,Amida Brimah,1994-02-11,C,R,6-10,230,GH,UConn
103,33fad20e-f3a9-4c60-94b5-cf7e115b4758,Amile Jefferson,1993-05-07,PF,1,6-9,222,US,Duke
104,d02acbca-b12a-48eb-ba37-a6a3ac419e06,Amir Coffey,1997-06-17,SG,1,6-7,210,US,Minnesota
105,4c2f4eb8-379c-4bdd-a244-aaada2a8ac61,Amir Johnson,1987-05-01,C,13,6-9,240,US,
106,3a325ccd-9fee-42ed-93d3-468dc9019b89,Anderson Varejão,1982-09-28,C,13,6-10,273,BR,
107,59253802-1376-49d5-9e0a-6b5740128287,Andrae Patterson,1975-11-12,PF,1,6-9,238,US,Indiana
108,b3576575-f204-4ce3-aa56-ae3f2077b20e,Andray Blatche,1986-08-22,PF,8,6-11,235,US,
109,cd774c79-2848-4628-b365-55feae99ae53,Andre Barrett,1982-02-21,PG,3,5-10,172,US,Seton Hall
110,99193e1d-bc78-49a9-9097-004a5fcd5036,Andre Brown,1981-05-12,PF,2,6-9,245,US,DePaul
111,85ec165d-2644-43d9-8cbc-ff6f3f25c7b7,Andre Dawkins,1991-09-19,SG,R,6-5,215,US,Duke
112,0b89c5ec-ff60-4013-a382-924eb02ae9a5,Andre Drummond,1993-08-10,C,8,6-10,279,US,UConn
113,7f83d104-c50d-4423-b182-410fa210ee1a,Andre Emmett,1982-08-27,SF,1,6-5,230,US,Texas Tech
114,43120ca2-b1de-411d-8e44-4ec79030e2a9,Andre Iguodala,1984-01-28,SF,16,6-6,215,US,Arizona
115,8cd00ab7-54c0-45fe-828e-dab1b1db096d,Andre Ingram,1985-11-19,SG,1,6-3,190,US,American University
116,37f6ae6e-ff7b-40da-aad0-12fdaab3aa69,Andre McCarter,1953-08-25,PG,1,6-3,190,US,UCLA
117,ec419b02-91ec-4761-82ff-c047f75e7f4b,Andre Miller,1976-03-19,PG,16,6-3,200,US,Utah
118,e4a67cc6-6043-497b-a74f-e14c8bd69096,Andre Moore,1964-07-02,SF,R,6-9,215,US,Loyola Chicago
119,5123baea-642e-4c76-8a5d-49dd5b4195fb,Andre Owens,1980-10-31,PG,1,6-4,200,US,"Indiana, Houston"
120,3fd7654c-c97d-4022-9baf-d67667be61ee,Andre Roberson,1991-12-04,SG,6,6-7,210,US,Colorado
121,fc3181a3-9e82-4452-8299-53b4241b6d51,Andre Spencer,1964-07-20,SF,1,6-6,210,US,Northern Arizona University
122,78406c16-c0da-4561-a23d-2b44115b0a0f,Andre Turner,1964-12-13,PG,4,5-11,160,US,Memphis
123,28124630-1ad7-4b13-aa3a-3d2b4e2d8e16,Andre Wakefield,1955-01-11,SG,1,6-3,175,US,Loyola Chicago
124,5ba56f73-b565-4fcf-82d3-d743c68a2ded,Andrea Bargnani,1985-10-26,C,9,7-0,245,IT,
125,8233e58a-b126-4516-bb53-110ffe69d13c,Andreas Glyniadakis,1981-08-21,C,R,7-1,280,GR,
126,b1700401-1bd9-4f05-8f25-0c66ed021156,Andrei Kirilenko,1981-02-18,SF,12,6-9,220,RU,
127,29b1ee56-e693-48f8-b685-ce1c89e53969,Andrew Bogut,1984-11-28,C,13,7-0,260,AU,Utah
128,b4683c01-aef8-43b4-912d-86ef79b618d6,Andrew Bynum,1987-10-27,C,7,7-0,285,US,
129,3da10a12-b510-4e05-a0db-dc0164f3b3a1,Andrew DeClercq,1973-02-01,C,9,6-10,230,US,Florida
130,11ba5129-c026-4de1-8c99-1cb2eeeb2729,Andrew Gaze,1965-07-24,SG,1,6-7,205,AU,Seton Hall
131,07194ed5-300f-4abe-aec2-cabfeae410d6,Andrew Goudelock,1988-12-07,PG,2,6-3,200,US,College of Charleston
132,779f83fa-f3e1-4bc7-93e9-a2204d2129f0,Andrew Harrison,1994-10-28,PG,2,6-6,213,US,Kentucky
133,557a4e40-2793-4a5b-82e5-cb5452e90d5a,Andrew Lang,1966-06-28,C,11,6-11,245,US,Arkansas
134,f02d9793-1d11-4398-9754-030ff52d17a8,Andrew Nicholson,1989-12-08,PF,4,6-9,250,CA,St. Bonaventure
135,ccde9a3a-aa2b-4770-a2fc-88679a64d056,Andrew Toney,1957-11-23,SG,7,6-3,178,US,Louisiana
136,420ecfde-c3c9-453c-a383-5cbc5269e577,Andrew White,1993-06-16,SF,R,6-7,210,US,"Nebraska, Syracuse"
137,57056c34-ea1e-4e0f-ac11-c569ed72ea3d,Andrew Wiggins,1995-02-23,PF,6,6-7,197,CA,Kansas
138,09307fb7-b869-48f7-aa6b-c8bfa5df7637,Andris Biedriņš,1986-04-02,C,9,6-11,240,LV,
139,7713aada-e54b-4fc6-9ac5-c93192e5ac9d,Andrés Guibert,1968-10-28,PF,1,6-10,225,CU,
140,8317d906-f418-47f1-9c54-1729fd9633f0,Andrés Nocioni,1979-11-30,SF,7,6-7,225,AR,
141,b160af22-a2c9-42ea-9065-30216b0d5a32,Andy Panko,1977-11-27,SF,R,6-9,222,US,Lebanon Valley College
142,f87b46d7-8066-4999-9d99-8963370d6f86,Andy Rautins,1986-11-02,SG,R,6-4,190,US,Syracuse
143,af13e3d5-c637-42ca-8a2e-ac89f19e95a7,Andy Toolson,1966-01-19,SF,1,6-6,210,US,BYU
144,36d02e68-d3a7-421d-beb3-514de424e05c,Andy Walker,1955-03-25,SF,R,6-4,190,US,Niagara University
145,b0fe426b-7b5b-42d9-b8a3-d592c6c9317f,Anfernee Hardaway,1971-07-18,SF,13,6-7,195,US,Memphis
146,cc32d0ba-360f-446c-ba6d-98ac57c21ace,Anfernee Simons,1999-06-08,SG,2,6-3,181,US,
147,5edcbb1e-81c9-40a9-9f9b-3422f641d8d0,Ansu Sesay,1976-07-29,SF,3,6-9,225,US,Ole Miss
148,c2b4ca26-abbf-4333-8ecc-8ad1bea9a717,Antawn Jamison,1976-06-12,PF,15,6-8,223,US,UNC
149,8bf750a6-5538-4765-8a61-64d1c1cad55d,Ante Žižić,1997-01-04,C,2,6-10,266,HR,
150,c46fe38b-50a5-4af5-b1d5-3bb8301b7d0f,Anthony Avent,1969-10-18,PF,5,6-9,235,US,Seton Hall
151,810ff921-5695-46ea-94b1-7ca52442b129,Anthony Bennett,1993-03-14,PF,3,6-8,245,CA,UNLV
152,d1948ffd-f0f5-4736-8aa7-eef176e214a7,Anthony Bonner,1968-06-08,PF,5,6-8,215,US,Saint Louis
153,28d5f8b8-52a3-4f8c-a23f-c11cc52bd937,Anthony Bowie,1963-11-09,SG,7,6-6,190,US,Oklahoma
154,185ae4cb-1867-4ea5-98be-f1ca6ba7d734,Anthony Brown,1992-10-10,SF,2,6-7,210,US,Stanford
155,99747c0b-b302-41bd-a792-f140914d929c,Anthony Carter,1975-06-16,PG,12,6-1,190,US,Hawaii
156,854414b8-2e61-475a-a553-edf628682682,Anthony Cook,1967-03-19,PF,3,6-9,205,US,Arizona
